epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1565.23,0.06603,0.07911,0.89408,1,1,0.995,0.99488,0.0584,0.06271,1.04863,0.0002576,0.0002576,0.0002576
90,1583.06,0.06649,0.07876,0.89771,1,1,0.995,0.99492,0.05919,0.05715,1.04841,0.0002378,0.0002378,0.0002378
91,1617.87,0.13289,0.21631,0.97269,1,1,0.995,0.99499,0.06263,0.06076,1.0489,0.000218,0.000218,0.000218
92,1635.19,0.10822,0.08184,0.9357,0.99998,1,0.995,0.99488,0.0455,0.0569,1.04629,0.0001982,0.0001982,0.0001982
93,1652.72,0.09494,0.07453,0.92008,0.99998,1,0.995,0.995,0.04441,0.05409,1.04547,0.0001784,0.0001784,0.0001784
94,1670.19,0.0921,0.07213,0.92502,0.99998,1,0.995,0.995,0.04492,0.04853,1.04569,0.0001586,0.0001586,0.0001586
95,1687.12,0.087,0.06841,0.91732,0.99998,1,0.995,0.995,0.04374,0.05223,1.04503,0.0001388,0.0001388,0.0001388
96,1704.11,0.08276,0.06706,0.91532,1,1,0.995,0.995,0.06449,0.05548,1.04743,0.000119,0.000119,0.000119
97,1721.28,0.08185,0.0667,0.90641,1,1,0.995,0.995,0.05067,0.05699,1.04621,9.92e-05,9.92e-05,9.92e-05
98,1738.44,0.08117,0.06627,0.90238,1,1,0.995,0.995,0.05014,0.06117,1.04581,7.94e-05,7.94e-05,7.94e-05
99,1755.41,0.07572,0.06175,0.90664,0.99998,1,0.995,0.995,0.04608,0.05004,1.04478,5.96e-05,5.96e-05,5.96e-05
100,1772.33,0.07634,0.0619,0.90178,0.99998,1,0.995,0.995,0.04848,0.04821,1.04506,3.98e-05,3.98e-05,3.98e-05
